"id","rank","title","studio","lifetime_gross","year","href"
1140,"1","Star Wars: The Force Awakens","BV","$936,662,225","2015","/movies/?id=starwars7.htm"
1141,"2","Avengers: Endgame","BV","$858,373,000","2019","/movies/?id=marvel2019.htm"
1142,"3","Avatar","Fox","$760,507,625","2009^","/movies/?page=releases&id=avatar.htm"
1143,"4","Black Panther","BV","$700,059,566","2018","/movies/?id=marvel2017b.htm"
1144,"5","Avengers: Infinity War","BV","$678,815,482","2018","/movies/?id=marvel0518.htm"
1145,"6","Titanic","Par.","$659,363,944","1997^","/movies/?page=releases&id=titanic.htm"
1146,"7","Jurassic World","Uni.","$652,270,625","2015","/movies/?id=jurassicpark4.htm"
1147,"8","Marvel's The Avengers","BV","$623,357,910","2012","/movies/?id=avengers11.htm"
1148,"9","Star Wars: The Last Jedi","BV","$620,181,382","2017","/movies/?id=starwars8.htm"
1149,"10","Incredibles 2","BV","$608,581,744","2018","/movies/?id=theincredibles2.htm"
1150,"11","The Lion King (2019)","BV","$540,734,057","2019","/movies/?id=lionkingliveaction.htm"
1151,"12","The Dark Knight","WB","$535,234,033","2008^","/movies/?page=releases&id=darkknight.htm"
1152,"13","Rogue One: A Star Wars Story","BV","$532,177,324","2016","/movies/?id=starwars2016.htm"
1153,"14","Beauty and the Beast (2017)","BV","$504,014,165","2017","/movies/?id=beautyandthebeast2017.htm"
1154,"15","Finding Dory","BV","$486,295,561","2016","/movies/?id=pixar2015.htm"
1155,"16","Star Wars: Episode I - The Phantom Menace","Fox","$474,544,677","1999^","/movies/?page=releases&id=starwars.htm"
1156,"17","Star Wars","Fox","$460,998,007","1977^","/movies/?page=releases&id=starwars4.htm"
1157,"18","Avengers: Age of Ultron","BV","$459,005,868","2015","/movies/?id=avengers2.htm"
1158,"19","The Dark Knight Rises","WB","$448,139,099","2012","/movies/?id=batman3.htm"
1159,"20","Shrek 2","DW","$441,226,247","2004","/movies/?id=shrek2.htm"
1160,"21","E.T.: The Extra-Terrestrial","Uni.","$435,110,554","1982^","/movies/?page=releases&id=et.htm"
1161,"22","Toy Story 4","BV","$433,083,004","2019","/movies/?id=pixar2017.htm"
