"id","titleId","ordering","title","region","language","types","attributes","isOriginalTitle"
1,"tt0000001","1","Carmencita - spanyol tánc","HU","\N","imdbDisplay","\N","0"
2,"tt0000001","2","Καρμενσίτα","GR","\N","\N","\N","0"
3,"tt0000001","3","Карменсита","RU","\N","\N","\N","0"
4,"tt0000001","4","Carmencita","US","\N","\N","\N","0"
5,"tt0000001","5","Carmencita","\N","\N","original","\N","1"
6,"tt0000002","1","Le clown et ses chiens","\N","\N","original","\N","1"
7,"tt0000002","2","A bohóc és kutyái","HU","\N","imdbDisplay","\N","0"
8,"tt0000002","3","Le clown et ses chiens","FR","\N","\N","\N","0"
9,"tt0000002","4","Clovnul si cainii sai","RO","\N","imdbDisplay","\N","0"
10,"tt0000002","5","Клоун и его собаки","RU","\N","\N","\N","0"
11,"tt0000002","6","The Clown and His Dogs","US","\N","\N","literal English title","0"
12,"tt0000003","1","Sarmanul Pierrot","RO","\N","imdbDisplay","\N","0"
13,"tt0000003","2","Szegény Pierrot","HU","\N","imdbDisplay","\N","0"
14,"tt0000003","3","Бедный Пьеро","RU","\N","\N","\N","0"
15,"tt0000003","4","Pauvre Pierrot","\N","\N","original","\N","1"
16,"tt0000003","5","Poor Pierrot","GB","\N","imdbDisplay","\N","0"
17,"tt0000003","6","Pauvre Pierrot","FR","\N","\N","\N","0"
18,"tt0000004","1","Un bon bock","\N","\N","original","\N","1"
19,"tt0000004","2","Un ţap de bere","RO","\N","\N","\N","0"
20,"tt0000004","3","Un bon bock","FR","\N","\N","\N","0"
21,"tt0000004","4","Полная кружка пива","RU","\N","\N","\N","0"
22,"tt0000004","5","A Good Beer","\N","\N","\N","\N","0"
23,"tt0000004","6","Egy jó pohár sör","HU","\N","imdbDisplay","\N","0"
24,"tt0000005","1","Blacksmithing Scene","US","\N","alternative","\N","0"
25,"tt0000005","2","Сцена в кузне","RU","\N","\N","\N","0"
26,"tt0000005","3","Blacksmith Shop","GB","\N","\N","informal alternative title","0"
27,"tt0000005","4","Blacksmith Scene #1","US","\N","alternative","\N","0"
28,"tt0000005","5","Blacksmithing","US","\N","\N","informal alternative title","0"
