"tconst","titletype","primarytitle","originaltitle","isadult","startyear","endyear","runtimeminutes","genres","id"
"tt0299654","movie","Cheongchun gobaeg","Cheongchun gobaeg","0","1968","\N","\N","Drama",287340
"tt0299655","movie","Cheongchuneul dabachyeo","Cheongchuneul dabachyeo","0","1969","\N","\N","Drama",287341
"tt0299656","movie","Cheonhailsaeg Yang Gwi-bi","Cheonhailsaeg Yang Gwi-bi","0","1962","\N","100","Drama",287342
"tt0299657","short","The Cherry Picker","The Cherry Picker","0","2000","\N","\N","Short",287343
"tt0299658","movie","Chicago","Chicago","0","2002","\N","113","Comedy,Crime,Musical",287344
"tt0299659","tvMovie","Child Stars: Their Story","Child Stars: Their Story","0","2000","\N","100","Documentary",287345
"tt0299661","movie","Children of Divorce","Bache-haye talagh","0","1990","\N","93","Drama",287346
"tt0299662","short","Children of the Royal Family of England","Children of the Royal Family of England","0","1900","\N","\N","Documentary,Short",287347
"tt0299663","short","Children of the Royal Family of England","Children of the Royal Family of England","0","1900","\N","\N","Documentary,Short",287348
"tt0299664","video","Chill'in with the Mack 2","Chill'in with the Mack 2","1","2001","\N","120","Adult",287349
"tt0299665","video","Chillin' with Jake Steed's Freaks Whoes & Flows 27","Chillin' with Jake Steed's Freaks Whoes & Flows 27","1","2001","\N","\N","Adult",287350
"tt0299666","short","La Chimera di Arezzo","La Chimera di Arezzo","0","1991","\N","11","Documentary,Short",287351
"tt0299667","movie","Chinatown 2","Chinatown 2","0","1993","\N","\N","Action",287352
"tt0299668","movie","Chinjeong eomeoni","Chinjeong eomeoni","0","1966","\N","105","Drama",287353
"tt0299669","short","Chloé","Chloé","0","1999","\N","\N","Short",287354
"tt0299670","video","Chocoholic","Chocoholic","1","2001","\N","\N","Adult",287355
"tt0299671","short","Chorus Angelorum","Chorus Angelorum","0","1985","\N","\N","Short",287356
"tt0299672","short","Christmas in Heaven","Christmas in Heaven","0","1988","\N","\N","Short",287357
"tt0299673","tvMovie","Christoffel Marlowe","Christoffel Marlowe","0","1970","\N","60","Drama",287358
"tt0299674","movie","Chuck Amuck: The Movie","Chuck Amuck: The Movie","0","1991","\N","51","Biography,Documentary",287359
"tt0299675","movie","Chueog","Chueog","0","1969","\N","\N","Drama",287360
"tt0299676","short","Chutzpah","Chutzpah","0","2001","\N","1","Short",287361
"tt0299677","short","Chuá","Chuá","0","1988","\N","\N","Short",287362
"tt0299678","movie","The Praise of Folly","Chvála bláznivosti","0","2001","\N","\N","Documentary",287363
"tt0299679","video","La ciociara 40 anni dopo","La ciociara 40 anni dopo","0","2001","\N","8","Documentary,Short",287364
"tt0299680","tvMovie","The City Fox","The City Fox","0","1972","\N","\N","Family",287365
"tt0299681","movie","City in Panic","City in Panic","0","1986","\N","85","Crime,Horror,Thriller",287366
"tt0299682","videoGame","Civilization III","Civilization III","0","2001","\N","\N","Action,Adventure",287367
"tt0299683","short","Clumsy Love","Clumsy Love","0","1998","\N","\N","Short",287368
"tt0299684","movie","Clínica con música","Clínica con música","0","1974","\N","90","Comedy",287369
"tt0299685","video","Cocktails","Cocktails","1","2000","\N","122","Adult",287370
"tt0299686","video","Coed Cocksuckers 23","Coed Cocksuckers 23","1","2000","\N","110","Adult",287371
"tt0299688","short","The Colonel's Little Love Affair","The Colonel's Little Love Affair","0","1921","\N","\N","Comedy,Short",287372
"tt0299689","movie","The Color of Water","The Color of Water","0","2002","\N","82","Comedy,Romance",287373
"tt0299690","movie","The Comeback","The Comeback","0","1980","\N","78","Action,Documentary",287374
"tt0299691","tvEpisode","Zach Galifianakis","Zach Galifianakis","0","2001","\N","30","Comedy,Documentary",287375
"tt0299692","tvMovie","The Comedy Store's 20th Birthday","The Comedy Store's 20th Birthday","0","1992","\N","\N","Comedy",287376
"tt0299693","movie","Commissioner","Commissioner","0","1994","\N","175","Action,Crime,Thriller",287377
"tt0299694","short","Compromissen: De excellentie","Compromissen: De excellentie","0","1997","\N","\N","Short",287378
"tt0299695","movie","Con che passo la frontiera?","Con che passo la frontiera?","0","1985","\N","\N","\N",287379
"tt0299696","movie","Con i piedi per aria","Con i piedi per aria","0","1990","\N","\N","\N",287380
"tt0299697","movie","Concerto","Concerto","0","1980","\N","\N","Documentary",287381
"tt0299698","tvEpisode","Concho, the Coyote Who Wasn't","Concho, the Coyote Who Wasn't","0","1966","\N","60","Adventure,Biography,Drama",287382
"tt0299699","video","Confessions of an Anal Whore","Confessions of an Anal Whore","1","2000","\N","83","Adult",287383
