"tconst","parenttconst","seasonnumber","episodenumber","id"
"tt0041951","tt0041038","1","9",1
"tt0042816","tt0989125","1","17",2
"tt0042889","tt0989125","\N","\N",3
"tt0043426","tt0040051","3","42",4
"tt0043631","tt0989125","2","16",5
"tt0043693","tt0989125","2","8",6
"tt0043710","tt0989125","3","3",7
"tt0044093","tt0959862","1","6",8
"tt0044901","tt0989125","3","46",9
"tt0045519","tt0989125","4","11",10
"tt0045960","tt0044284","2","3",11
"tt0046135","tt0989125","4","5",12
"tt0046150","tt0341798","\N","\N",13
"tt0046855","tt0046643","1","4",14
"tt0046864","tt0989125","5","20",15
"tt0047810","tt0914702","3","36",16
"tt0047852","tt0047745","1","15",17
"tt0047858","tt0046637","2","9",18
"tt0047961","tt0989125","6","5",19
"tt0048067","tt0046587","2","20",20
"tt0048302","tt0047768","1","6",21
"tt0048371","tt0989125","6","11",22
"tt0048378","tt0047702","1","6",23
"tt0048462","tt0047702","1","3",24
"tt0048562","tt0047768","1","10",25
"tt0048883","tt0989125","6","42",26
"tt0049473","tt0046593","1","20",27
"tt0049572","tt0914702","1","30",28
"tt0049669","tt0048893","1","2",29
"tt0050031","tt0050013","1","4",30
"tt0050259","tt0048893","1","20",31
"tt0050318","tt0046593","4","1",32
"tt0050320","tt0914702","3","39",33
"tt0050641","tt4280482","1","1",34
"tt0050678","tt0161126","2","11",35
"tt0050695","tt0046637","3","6",36
"tt0050988","tt0048893","1","16",37
"tt0051344","tt0050013","1","6",38
"tt0051523","tt0048893","3","2",39
"tt0051625","tt0048893","2","15",40
"tt0051680","tt0161126","3","9",41
"tt0051929","tt0989125","9","45",42
"tt0052128","tt0441950","4","2",43
"tt0052236","tt0793361","1","2",44
"tt0052237","tt0793361","1","5",45
"tt0052238","tt0793361","1","4",46
"tt0052239","tt0793361","1","3",47
"tt0052240","tt0793361","1","1",48
"tt0052241","tt0793361","1","6",49
"tt0052290","tt1646046","1","10",50
"tt0052628","tt0914702","4","18",51
"tt0052630","tt0050013","2","9",52
"tt0052647","tt4280486","1","8",53
"tt0052730","tt0320048","1","11",54
"tt0052857","tt0259792","\N","\N",55
"tt0052866","tt0259792","\N","\N",56
"tt0052874","tt0050013","2","6",57
"tt0052931","tt0914702","3","28",58
"tt0052952","tt4280486","1","1",59
"tt0053303","tt0793361","2","3",60
"tt0053304","tt0793361","2","2",61
"tt0053305","tt0793361","2","1",62
"tt0053343","tt1845727","1","1",63
"tt0053384","tt0052511","1","3",64
"tt0053405","tt0259792","\N","\N",65
"tt0053581","tt0048893","4","14",66
"tt0053722","tt0190181","1","6",67
"tt0053723","tt0190181","1","2",68
"tt0053827","tt0341798","4","17",69
"tt0053966","tt0048893","4","8",70
"tt0053974","tt0348926","1","5",71
"tt0054015","tt0051312","2","1",72
"tt0054028","tt0259792","\N","\N",73
"tt0054057","tt0190181","1","5",74
"tt0054062","tt0259792","\N","\N",75
"tt0054087","tt0259792","\N","\N",76
"tt0054319","tt0052511","1","33",77
"tt0054338","tt0793361","3","1",78
"tt0054339","tt0793361","3","3",79
"tt0054340","tt0793361","3","2",80
"tt0054645","tt0190181","2","4",81
"tt0054654","tt0190181","2","8",82
"tt0054754","tt0190181","2","3",83
"tt0054794","tt0914702","4","27",84
"tt0054796","tt0190181","3","6",85
"tt0054994","tt0046593","8","2",86
"tt0054996","tt0320048","1","10",87
"tt0055130","tt0190181","2","5",88
"tt0055131","tt0161126","4","27",89
"tt0055132","tt0190181","2","2",90
"tt0055203","tt0161126","4","47",91
"tt0055250","tt0259792","\N","\N",92
"tt0055281","tt0190181","1","7",93
"tt0055314","tt0914702","6","26",94
"tt0055334","tt0259792","\N","\N",95
"tt0055359","tt0990935","2","20",96
"tt0055387","tt0161126","4","43",97
"tt0055433","tt0914702","7","8",98
"tt0055443","tt0161126","4","36",99
"tt0055476","tt0793361","4","2",100
